user_id,churn_probability,uplift_score,segment,clv_proxy,scored_at
CUST_00000,0.6398,0.4746,Persuadable,14.92,2026-03-13T14:20:52.675269
CUST_00001,0.1397,-0.0222,Sure_Thing,1835.51,2026-03-13T14:20:52.675269
CUST_00002,0.6178,-0.4021,Sleeping_Dog,72.1,2026-03-13T14:20:52.675269
CUST_00003,0.1472,-0.2284,Sleeping_Dog,1800.73,2026-03-13T14:20:52.675269
CUST_00004,0.6725,0.417,Persuadable,101.1,2026-03-13T14:20:52.675269
CUST_00005,0.7135,0.4062,Persuadable,729.33,2026-03-13T14:20:52.675269
CUST_00006,0.4895,-0.0933,Sure_Thing,1864.64,2026-03-13T14:20:52.675269
CUST_00007,0.42,-0.2045,Sleeping_Dog,274.45,2026-03-13T14:20:52.675269
CUST_00008,0.6333,0.3592,Persuadable,2941.01,2026-03-13T14:20:52.675269
CUST_00009,0.1257,-0.1777,Sleeping_Dog,3432.59,2026-03-13T14:20:52.675269
CUST_00010,0.3081,-0.3249,Sleeping_Dog,545.49,2026-03-13T14:20:52.675269
CUST_00011,0.112,0.1373,Sure_Thing,307.58,2026-03-13T14:20:52.675269
CUST_00012,0.3641,0.5273,Sure_Thing,5584.81,2026-03-13T14:20:52.675269
CUST_00013,0.6018,0.0205,Lost_Cause,4935.57,2026-03-13T14:20:52.675269
CUST_00014,0.573,0.2311,Sure_Thing,2582.74,2026-03-13T14:20:52.675269
CUST_00015,0.1236,0.4278,Sure_Thing,7782.36,2026-03-13T14:20:52.675269
CUST_00016,0.1079,-0.1313,Sleeping_Dog,1003.65,2026-03-13T14:20:52.675269
CUST_00017,0.2451,0.3949,Sure_Thing,7279.72,2026-03-13T14:20:52.675269
CUST_00018,0.2825,0.0877,Sure_Thing,480.32,2026-03-13T14:20:52.675269
CUST_00019,0.5571,-0.0728,Sure_Thing,1778.22,2026-03-13T14:20:52.675269
CUST_00020,0.6759,0.3305,Persuadable,19.82,2026-03-13T14:20:52.675269
CUST_00021,0.1131,0.11,Sure_Thing,186.69,2026-03-13T14:20:52.675269
