SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn_binary,Contract_encoded,InternetService_encoded,PaymentMethod_encoded,recency_risk,service_count,monetary_value,monthly_to_total_ratio,charge_per_month,clv_proxy,is_high_value,contract_stability,digital_engagement
0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0,0,1,0,0.5,1,29.85,0.9675850891410048,14.925,14.925,0,0,1
0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,0,1,1,1,0.02857142857142857,3,1889.5,0.03012430573922243,1.6271428571428572,1835.5142857142857,0,34,0
0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,0,1,1,0.3333333333333333,3,108.15,0.4933577645442052,17.95,72.10000000000001,0,0,1
0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,0,1,1,2,0.021739130434782608,3,1840.75,0.022967286548119994,0.9195652173913043,1800.733695652174,0,45,1
0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,0,2,0,0.3333333333333333,1,151.65,0.46315099901735995,23.566666666666666,101.10000000000001,0,0,1
0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1,0,2,0,0.1111111111111111,5,820.5,0.12130249543517956,11.072222222222223,729.3333333333333,0,0,1
0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,0,0,2,3,0.043478260869565216,4,1949.4,0.04568293683347005,3.8739130434782605,1864.6434782608696,0,0,2
0,0,0,10,0,0,1,0,0,0,0,0,0,29.75,301.9,0,0,1,1,0.09090909090909091,1,301.9,0.09821723341036646,2.7045454545454546,274.45454545454544,0,0,0
0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,0,2,0,0.034482758620689655,6,3046.05,0.03439392199012159,3.613793103448276,2941.0137931034487,0,0,1
0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,0,1,1,2,0.015873015873015872,3,3487.95,0.01609366714914229,0.8912698412698412,3432.5857142857144,0,62,1
0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,0,0,1,1,0.07142857142857142,2,587.45,0.0848840173336732,3.567857142857143,545.4892857142858,0,0,1
0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,0,2,0,3,0.058823529411764705,1,326.8,0.05780964002440512,1.1147058823529412,307.5764705882353,0,32,1
0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,0,1,2,3,0.01694915254237288,5,5681.1,0.017660724028088205,1.7008474576271186,5584.810169491526,1,58,1
0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1,0,2,2,0.02,6,5036.3,0.020586425267504416,2.074,4935.5740000000005,1,0,2
0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,0,0,2,0,0.038461538461538464,6,2686.05,0.03926238812080162,4.0576923076923075,2582.7403846153848,0,0,1
0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,7895.15,0,2,2,3,0.014285714285714285,8,7895.15,0.014342432704545887,1.6178571428571429,7782.362142857143,1,138,1
0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,0,1,0,1,0.018867924528301886,1,1022.95,0.020167000341813564,0.38962264150943393,1003.6490566037736,0,52,0
0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,0,2,2,2,0.013888888888888888,6,7382.25,0.01445163037957539,1.4819444444444445,7279.71875,1,142,1
0,1,1,10,1,0,0,0,1,1,0,0,0,55.2,528.35,1,0,1,3,0.09090909090909091,3,528.35,0.10427883253046188,5.0181818181818185,480.3181818181818,0,0,1
0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,1862.9,0,0,2,0,0.045454545454545456,4,1862.9,0.04831267771876173,4.093181818181818,1778.2227272727275,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,0,1,0,0.5,2,39.65,0.97539975399754,19.825,19.825,0,0,1
0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,202.25,0,1,0,2,0.07692307692307693,1,202.25,0.0974169741697417,1.5230769230769232,186.6923076923077,0,12,1
0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1,0,0,1,0.5,1,20.15,0.9527186761229315,10.075,10.075,0,0,0
0,1,0,58,1,1,0,1,0,1,0,0,1,59.9,3505.1,0,2,1,3,0.01694915254237288,4,3505.1,0.017084509854254016,1.0152542372881355,3445.6915254237288,0,116,2
0,1,1,49,1,0,1,1,0,1,0,0,0,59.6,2970.3,0,0,1,3,0.02,4,2970.3,0.020058560226163633,1.192,2910.8940000000002,0,0,1
0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,0,0,1,2,0.03225806451612903,3,1530.6,0.03610603290676417,1.7838709677419353,1481.225806451613,0,0,2
0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,1,0,2,0,0.020833333333333332,5,4749.15,0.020915128995926444,2.0697916666666667,4650.209374999999,1,0,1
0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1,0,1,0,0.5,1,30.2,0.967948717948718,15.1,15.1,0,0,0
0,1,0,72,1,1,1,1,1,1,1,1,1,90.25,6369.45,0,2,1,3,0.0136986301369863,8,6369.45,0.014166974075614753,1.2363013698630136,6282.1972602739725,1,144,2
0,0,1,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,0,1,1,0.05555555555555555,3,1093.1,0.05913536239831826,3.5944444444444446,1032.372222222222,0,0,1
1,1,0,71,1,1,1,1,1,1,0,0,1,96.35,6766.95,0,2,2,3,0.013888888888888888,6,6766.95,0.014236216284103754,1.3381944444444445,6672.964583333333,1,142,2
1,1,0,2,1,0,0,0,1,0,1,1,1,95.5,181.65,0,0,2,3,0.3333333333333333,4,181.65,0.5228579249931563,31.833333333333332,121.10000000000002,0,0,2
0,1,1,27,1,0,1,1,1,1,0,0,0,66.15,1874.45,0,1,1,1,0.03571428571428571,5,1874.45,0.03527153483164041,2.3625000000000003,1807.5053571428573,0,27,0
0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,0,0,2,0.5,1,20.2,0.9528301886792453,10.1,10.1,0,0,1
1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,0,0,1,2,0.5,1,45.25,0.9783783783783784,22.625,22.625,0,0,1
0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,0,2,2,2,0.0136986301369863,6,7251.7,0.013774180649964841,1.3684931506849316,7152.361643835616,1,144,1
0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,1,0,2,0,0.16666666666666666,1,316.9,0.21925133689839574,11.616666666666667,264.0833333333333,0,0,1
0,0,0,46,1,0,0,0,1,0,0,0,1,74.8,3548.3,0,0,2,3,0.02127659574468085,2,3548.3,0.021074578085819737,1.5914893617021275,3472.804255319149,0,0,2
0,0,0,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,1,0,2,0,0.02857142857142857,6,3549.25,0.02995563692697697,3.0385714285714283,3447.842857142857,0,0,1
0,0,0,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,1,0,2,2,0.08333333333333333,5,1105.4,0.08843998553868401,8.154166666666667,1013.2833333333334,0,0,2
0,1,1,10,1,0,0,1,0,0,0,0,0,49.55,475.7,0,1,1,1,0.09090909090909091,2,475.7,0.1039437801552339,4.504545454545454,432.45454545454544,0,10,0
0,1,1,70,1,1,1,1,0,0,1,0,1,69.2,4872.35,0,2,1,3,0.014084507042253521,5,4872.35,0.01419967783967907,0.9746478873239437,4803.725352112677,1,140,2
0,1,1,17,1,0,0,0,0,0,0,0,0,20.75,418.25,0,1,0,1,0.05555555555555555,1,418.25,0.04949314251639833,1.1527777777777777,395.01388888888886,0,17,0
0,0,0,63,1,1,1,1,1,1,1,0,1,79.85,4861.45,0,2,1,3,0.015625,7,4861.45,0.016421762691647215,1.24765625,4785.48984375,1,126,2
0,1,0,13,1,1,1,1,0,1,1,0,1,76.2,981.45,0,0,1,0,0.07142857142857142,6,981.45,0.07756119904320831,5.442857142857143,911.3464285714286,0,0,1
0,0,0,49,1,1,0,0,0,0,0,1,1,84.5,3906.7,0,0,2,0,0.02,3,3906.7,0.021623973181155155,1.69,3828.566,1,0,1
0,0,0,2,1,0,0,1,0,0,0,0,0,49.25,97.0,0,0,1,1,0.3333333333333333,2,97.0,0.5025510204081632,16.416666666666668,64.66666666666667,0,0,0
0,0,0,2,1,0,0,0,0,0,1,0,1,80.65,144.15,1,0,2,0,0.3333333333333333,2,144.15,0.555632104719256,26.883333333333336,96.10000000000001,0,0,1
0,0,0,52,1,1,1,0,0,1,1,1,1,79.75,4217.8,0,2,1,3,0.018867924528301886,6,4217.8,0.01890347966246326,1.5047169811320755,4138.218867924528,1,104,2
0,1,1,69,1,1,1,0,1,1,0,0,1,64.15,4254.1,0,2,1,3,0.014285714285714285,5,4254.1,0.015076026415360391,0.9164285714285715,4193.327142857143,1,138,2
1,0,0,43,1,1,0,1,0,0,1,0,1,90.25,3838.75,0,0,2,0,0.022727272727272728,4,3838.75,0.023504134383748942,2.0511363636363638,3751.505681818182,1,0,1
0,0,0,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,1,0,2,3,0.0625,5,1426.4,0.06942693008266777,6.19375,1337.25,0,0,2
1,1,0,25,1,1,1,0,0,1,1,0,1,69.5,1752.65,0,0,1,3,0.038461538461538464,5,1752.65,0.039631625466883355,2.673076923076923,1685.2403846153848,0,0,2
1,1,0,8,1,1,0,1,0,0,0,0,1,80.65,633.3,1,0,2,3,0.1111111111111111,3,633.3,0.12714803720636925,8.961111111111112,562.9333333333333,0,0,2
1,1,1,60,1,0,1,1,1,1,0,1,1,74.85,4456.35,0,1,1,3,0.01639344262295082,6,4456.35,0.01679248881061617,1.2270491803278687,4383.295081967213,1,60,2
1,0,0,18,1,1,0,0,0,0,1,1,1,95.45,1752.55,1,0,2,0,0.05263157894736842,4,1752.55,0.05443243705625731,5.023684210526316,1660.3105263157895,0,0,1
0,1,1,63,1,1,1,0,0,0,1,1,1,99.65,6311.2,0,1,2,3,0.015625,5,6311.2,0.01578688888184785,1.55703125,6212.5875,1,63,2
1,1,1,66,1,1,0,1,1,1,1,1,1,108.45,7076.35,0,1,2,0,0.014925373134328358,7,7076.35,0.0153235321130084,1.6186567164179104,6970.732835820895,1,66,1
0,1,1,34,1,1,0,0,0,0,0,0,0,24.95,894.3,0,2,0,3,0.02857142857142857,2,894.3,0.02786775382553334,0.7128571428571429,868.7485714285714,0,68,1
0,0,0,72,1,1,0,0,1,1,1,1,1,107.5,7853.7,0,2,2,3,0.0136986301369863,6,7853.7,0.013686073306428,1.4726027397260273,7746.11506849315,1,144,2
0,1,0,47,1,1,0,0,1,0,1,1,1,100.5,4707.1,0,0,2,0,0.020833333333333332,5,4707.1,0.021346190607676133,2.09375,4609.035416666667,1,0,1
0,0,0,60,1,1,0,1,0,0,1,0,1,89.9,5450.7,0,0,2,2,0.01639344262295082,4,5450.7,0.01649026909037548,1.4737704918032788,5361.3442622950815,1,0,2
0,1,0,72,0,0,1,1,1,0,0,0,0,42.1,2962.0,0,2,1,2,0.0136986301369863,3,2962.0,0.01420857239284509,0.5767123287671233,2921.4246575342463,0,144,1
0,1,1,18,1,0,0,0,1,1,0,0,1,54.4,957.1,0,1,1,3,0.05263157894736842,3,957.1,0.056779041853668714,2.863157894736842,906.7263157894738,0,18,2
0,0,0,9,1,1,0,0,0,0,1,1,0,94.4,857.25,1,0,2,0,0.1,4,857.25,0.10999126128750365,9.440000000000001,771.525,0,0,0
0,0,0,3,1,0,0,1,0,1,1,1,1,75.3,244.1,0,0,1,0,0.25,5,244.1,0.3072215422276622,18.825,183.075,0,0,1
0,1,0,47,1,1,0,1,0,0,0,0,1,78.9,3650.35,0,1,2,0,0.020833333333333332,3,3650.35,0.02160844619113479,1.64375,3574.3010416666666,0,47,1
0,0,0,31,1,0,0,1,1,1,1,1,0,79.2,2497.2,0,2,1,1,0.03125,6,2497.2,0.03170282603474502,2.475,2419.1625,0,62,0
0,1,1,50,1,0,0,0,0,0,0,0,0,20.15,930.9,0,2,0,2,0.0196078431372549,1,930.9,0.021622491683657045,0.39509803921568626,912.6470588235294,0,100,1
0,0,0,10,1,0,1,0,1,0,0,0,1,79.85,887.35,0,0,2,1,0.09090909090909091,3,887.35,0.08988574323183429,7.259090909090909,806.6818181818181,0,0,1
0,0,0,1,1,0,0,0,0,1,0,0,0,49.05,49.05,0,0,1,1,0.5,2,49.05,0.98001998001998,24.525,24.525,0,0,0
0,1,1,52,1,0,0,0,0,0,0,0,1,20.4,1090.65,0,1,0,0,0.018867924528301886,1,1090.65,0.01868730820317867,0.38490566037735846,1070.0716981132077,0,52,1
1,1,1,64,1,1,1,0,1,1,1,1,1,111.6,7099.0,0,2,2,2,0.015384615384615385,7,7099.0,0.015718309859154928,1.7169230769230768,6989.784615384616,1,128,2
0,1,1,62,1,1,0,0,0,0,0,0,1,24.25,1424.6,0,2,0,2,0.015873015873015872,2,1424.6,0.01701038159371493,0.38492063492063494,1401.9873015873015,0,124,2
0,0,1,3,1,0,1,0,0,1,0,1,1,64.5,177.4,0,0,1,2,0.25,4,177.4,0.3615470852017937,16.125,133.05,0,0,2
1,0,0,56,1,1,1,1,1,0,1,1,0,110.5,6139.5,0,1,2,0,0.017543859649122806,7,6139.5,0.017995277257552317,1.9385964912280702,6031.78947368421,1,56,0
0,0,0,46,1,0,0,0,0,0,0,1,0,55.65,2688.85,0,1,1,3,0.02127659574468085,2,2688.85,0.02068888599736045,1.1840425531914893,2631.640425531915,0,46,1
0,1,1,8,1,0,1,1,0,0,0,0,0,54.65,482.25,0,0,1,1,0.1111111111111111,3,482.25,0.11308846352819452,6.072222222222222,428.66666666666663,0,0,0
1,0,0,30,1,0,1,1,0,0,1,1,1,74.75,2111.3,0,0,1,0,0.03225806451612903,5,2111.3,0.03538796572456564,2.411290322580645,2043.193548387097,0,0,1
0,1,1,45,1,1,0,0,0,0,0,0,1,25.9,1216.6,0,1,0,3,0.021739130434782608,2,1216.6,0.021271353482260183,0.5630434782608695,1190.1521739130435,0,45,2
0,0,1,1,1,0,0,0,0,0,1,0,1,79.35,79.35,1,0,2,0,0.5,2,79.35,0.9875544492843809,39.675,39.675,0,0,1
0,1,1,11,0,0,1,0,0,0,1,1,0,50.55,565.35,0,0,1,0,0.08333333333333333,3,565.35,0.0892557605720844,4.2124999999999995,518.2375,0,0,0
0,1,0,7,1,0,0,0,1,0,0,0,1,75.15,496.9,1,0,2,2,0.125,2,496.9,0.15093392247439247,9.39375,434.78749999999997,0,0,2
0,0,0,42,1,0,0,1,1,1,1,1,1,103.8,4327.5,0,0,2,2,0.023255813953488372,6,4327.5,0.02398059373917061,2.413953488372093,4226.860465116279,1,0,2
0,1,0,49,1,0,0,0,0,0,0,0,1,20.15,973.35,0,2,0,2,0.02,1,973.35,0.02068045363575717,0.40299999999999997,953.883,0,98,2
0,0,0,9,1,1,0,1,0,0,1,1,1,99.3,918.75,0,0,2,3,0.1,5,918.75,0.10796412068496875,9.93,826.875,0,0,2
