feature,mean_abs_shap
Contract_encoded,0.6098958212956089
InternetService_encoded,0.20753265750683625
charge_per_month,0.2072264134546925
PaymentMethod_encoded,0.08875348333534014
MonthlyCharges,0.08619859424174926
contract_stability,0.07887827694523841
StreamingMovies,0.050063720381430754
PaperlessBilling,0.03384320900403763
monthly_to_total_ratio,0.028185451677083754
StreamingTV,0.02757606322204038
PhoneService,0.027122016875726542
OnlineSecurity,0.025562331482056316
TechSupport,0.02515009156745187
TotalCharges,0.024550437814197076
tenure,0.012973497354977683
MultipleLines,0.012664188584934705
clv_proxy,0.012278028532165692
Dependents,0.010002945576157676
monetary_value,0.008589285837660946
SeniorCitizen,0.007523340077062223
digital_engagement,0.005567035342109762
service_count,0.005028941645366155
OnlineBackup,0.004000677912081587
recency_risk,0.0022097899704456104
DeviceProtection,0.002046553907391745
Partner,0.0013459535607996701
is_high_value,0.0
