user_id,tenure,monthly_charges,contract_type,service_count,clv_proxy,senior_citizen,has_partner,digital_engagement,segment_true,treated,base_churn_prob,final_churn_prob,churned
U00000,11,106.18764001091077,0,1,755.51,0,0,2,Lost_Cause,0,0.8678,0.8678,1
U00001,3,103.69731830313442,0,2,256.97,1,1,1,Persuadable,0,0.5359,0.5359,0
U00002,25,55.454519854974734,1,2,1302.07,0,1,0,Sleeping_Dog,0,0.2653,0.2653,0
U00003,8,85.22528033621916,0,4,630.25,0,0,1,Persuadable,0,0.5816,0.5816,0
U00004,11,74.13775511306463,1,4,746.93,0,1,1,Persuadable,1,0.6149,0.2149,0
U00005,43,49.53357007060694,1,2,2330.92,1,1,2,Sleeping_Dog,1,0.2914,0.5914,1
U00006,34,77.65727492877537,2,4,2894.44,0,0,2,Sure_Thing,0,0.2647,0.2647,0
U00007,71,83.61677405155174,2,6,6272.89,0,0,2,Sure_Thing,1,0.2469,0.1969,0
U00008,53,83.92042219009782,1,6,5027.41,0,0,2,Sure_Thing,1,0.2512,0.2012,0
U00009,7,85.73899427560627,0,3,390.62,0,0,1,Lost_Cause,1,0.8397,0.8197,0
U00010,68,52.77095814048169,1,7,4542.89,0,1,1,Sure_Thing,0,0.1759,0.1759,0
U00011,39,84.03408317850139,2,6,4059.16,0,1,1,Sure_Thing,1,0.1699,0.1199,0
U00012,9,88.67518666865607,0,1,501.39,0,1,0,Lost_Cause,0,0.9703,0.9703,1
U00013,55,82.6092096569983,2,5,5325.04,0,0,2,Sure_Thing,1,0.1814,0.1314,0
U00014,34,80.09888054108211,2,8,3513.88,0,0,0,Sure_Thing,1,0.1492,0.0992,0
U00015,9,103.12144148430154,0,5,1095.17,1,0,1,Persuadable,1,0.9656,0.5656,1
U00016,61,48.364272244599896,2,5,3301.28,1,1,0,Sure_Thing,0,0.1659,0.1659,0
U00017,4,79.75271665072287,0,1,270.15,0,0,0,Lost_Cause,0,0.4421,0.4421,1
U00018,1,93.24011360378286,0,5,102.08,1,1,1,Persuadable,1,0.8216,0.4216,0
U00019,1,99.99210276808515,0,4,86.01,0,0,0,Persuadable,1,0.5488,0.1488,0
U00020,10,94.92660746583572,0,2,789.5,0,1,0,Lost_Cause,1,0.7216,0.7016,1
U00021,28,76.85887102695509,2,4,2469.77,0,1,0,Sure_Thing,0,0.0629,0.0629,1
U00022,6,70.42861419952703,0,3,489.21,0,1,0,Persuadable,1,0.6977,0.2977,1
U00023,3,105.28430769592397,0,4,256.53,1,1,2,Persuadable,1,0.6683,0.2683,0
U00024,65,56.35103623194898,1,5,4330.43,0,0,0,Sure_Thing,0,0.2657,0.2657,0
U00025,28,52.48174994230094,1,6,1557.44,0,1,2,Sure_Thing,0,0.6358,0.6358,1
U00026,58,58.95473066171981,2,7,4409.31,0,1,2,Sure_Thing,0,0.2537,0.2537,0
U00027,6,96.59124247658532,0,3,435.13,0,0,2,Lost_Cause,1,0.58,0.56,1
U00028,33,58.683269948636294,2,7,2202.05,0,0,0,Sure_Thing,0,0.2987,0.2987,0
U00029,1,65.81495827193783,1,5,55.34,1,0,0,Persuadable,1,0.5788,0.1788,1
U00030,5,99.14886126920555,0,3,356.66,0,0,1,Lost_Cause,0,0.954,0.954,0
U00031,36,60.892724618303916,2,6,2421.91,0,0,0,Sure_Thing,0,0.4573,0.4573,0
U00032,43,55.05902800965892,1,1,2392.03,0,0,2,Sleeping_Dog,0,0.2752,0.2752,1
U00033,44,46.06128815495279,1,7,2417.6,0,0,2,Sure_Thing,0,0.3336,0.3336,0
U00034,17,77.09048117232257,0,2,1259.45,0,1,2,Persuadable,1,0.4758,0.0758,0
U00035,33,81.5764778369984,2,7,3314.62,0,1,1,Sure_Thing,1,0.0795,0.0295,0
