user_id,tenure,monthly_charges,contract_type,service_count,clv_proxy,senior_citizen,has_partner,digital_engagement,segment_true,treated,base_churn_prob,final_churn_prob,churned,week
U00000,50,76.50275666050901,2,8,4287.92,0,0,0,Sure_Thing,0,0.0469,0.0469,0,1
U00001,7,94.2432376644958,0,4,717.81,0,1,0,Persuadable,0,0.8917,0.8917,1,1
U00002,59,77.16123335034203,2,5,5159.05,0,0,1,Sure_Thing,1,0.0838,0.0338,0,1
U00003,70,64.22244093279119,2,6,5839.61,0,0,2,Sure_Thing,0,0.2084,0.2084,0,1
U00004,62,84.618714619932,1,6,6148.92,0,0,0,Sure_Thing,0,0.3994,0.3994,0,1
U00005,8,103.92331709776286,0,3,681.81,0,1,1,Lost_Cause,1,0.7843,0.7643,1,1
U00006,63,78.7174393755042,2,5,6422.95,0,1,1,Sure_Thing,0,0.0319,0.0319,0,1
U00007,1,88.75472310155911,0,2,72.71,0,1,2,Lost_Cause,1,0.8845,0.8645,1,1
U00008,8,92.07061972728226,0,2,651.79,0,1,1,Persuadable,1,0.9082,0.5082,0,1
U00009,5,90.73743756905583,0,2,402.0,0,1,2,Lost_Cause,1,0.8964,0.8764,1,1
U00010,9,76.64566447368674,0,3,786.33,0,0,1,Persuadable,0,0.739,0.739,1,1
U00011,8,92.98068766898507,1,3,863.38,0,0,2,Persuadable,1,0.677,0.277,0,1
U00012,2,101.81171831902265,0,3,166.37,0,1,1,Lost_Cause,0,0.803,0.803,1,1
U00013,5,100.10457093745099,0,1,334.78,0,1,1,Lost_Cause,1,0.5369,0.5169,1,1
U00014,15,101.71618842290712,1,3,1665.62,0,0,2,Persuadable,0,0.6295,0.6295,0,1
U00015,52,80.5927317772649,1,6,4428.54,0,0,1,Sure_Thing,0,0.201,0.201,1,1
U00016,24,64.09679238298696,2,7,1770.51,0,1,2,Sure_Thing,0,0.0891,0.0891,0,1
U00017,11,112.50727570224684,0,1,998.09,0,0,0,Lost_Cause,0,0.967,0.967,1,1
U00018,8,94.03244217570101,0,1,492.39,0,0,2,Lost_Cause,1,0.8198,0.7998,0,1
U00019,66,66.98150208726513,2,5,5512.51,0,0,2,Sure_Thing,1,0.2605,0.2105,1,1
U00020,45,36.710571207493615,1,2,1717.42,0,0,2,Sleeping_Dog,0,0.2296,0.2296,0,1
U00021,4,95.73085378529365,0,1,341.76,0,0,2,Lost_Cause,1,0.8308,0.8108,1,1
U00022,64,77.57091601520119,2,5,5458.09,0,0,1,Sure_Thing,0,0.3047,0.3047,0,1
U00023,11,112.22116839601452,0,1,780.84,0,0,2,Lost_Cause,1,0.8476,0.8276,0,1
U00024,14,105.08690135869784,0,2,1569.3,0,0,2,Persuadable,0,0.7101,0.7101,1,1
U00025,32,48.31936967745921,2,7,1686.95,0,0,0,Sure_Thing,0,0.208,0.208,0,1
U00026,12,53.77485977077886,2,2,631.98,0,0,0,Sleeping_Dog,1,0.1149,0.4149,0,1
U00027,7,68.47388376794382,0,5,431.72,1,1,0,Persuadable,0,0.9134,0.9134,0,1
U00028,44,76.78208890514823,1,8,3727.07,0,1,0,Sure_Thing,0,0.2288,0.2288,0,1
U00029,16,94.98566381035229,0,5,1348.02,0,0,1,Persuadable,0,0.5176,0.5176,0,1
U00030,39,76.40214611983865,2,5,3500.05,0,1,0,Sure_Thing,0,0.0869,0.0869,0,1
U00031,6,80.5554295550809,0,5,557.24,0,1,0,Persuadable,1,0.6124,0.2124,0,1
U00032,56,74.74151900560041,2,8,4255.92,0,1,0,Sure_Thing,1,0.2281,0.1781,0,1
U00033,9,79.78413348908616,0,1,479.87,0,1,1,Lost_Cause,1,0.927,0.907,1,1
U00034,35,55.515157320594746,2,8,2301.99,0,1,2,Sure_Thing,1,0.4315,0.3815,0,1
U00035,2,90.68092291432632,0,2,158.82,0,0,1,Lost_Cause,1,0.7112,0.6912,1,1
U00036,17,93.51229748373183,1,2,1905.13,0,1,1,Persuadable,1,0.5914,0.1914,0,1
U00037,3,79.6040016715754,0,3,176.95,1,1,2,Lost_Cause,0,0.7694,0.7694,1,1
U00038,25,75.84211297416076,2,8,2105.75,0,0,1,Sure_Thing,0,0.2439,0.2439,0,1
U00039,35,46.26414501130971,0,2,1580.06,0,1,1,Sleeping_Dog,0,0.2779,0.2779,0,1
U00040,14,102.91531188914128,0,4,1488.74,0,1,2,Persuadable,0,0.762,0.762,1,1
U00041,15,93.61710265910425,1,4,1125.36,0,0,1,Persuadable,0,0.787,0.787,0,1
U00042,10,69.73248394491353,0,5,632.8,0,0,1,Persuadable,0,0.8388,0.8388,1,1
U00043,4,108.52576527562289,1,2,363.38,0,1,1,Persuadable,0,0.5801,0.5801,1,1
U00044,68,84.51508905188096,2,5,6638.45,0,0,2,Sure_Thing,0,0.174,0.174,1,1
U00045,36,37.03677516521923,2,2,1380.34,0,1,2,Sleeping_Dog,1,0.2027,0.5027,0,1
U00046,18,34.679276300070065,2,1,576.08,0,1,0,Sleeping_Dog,0,0.288,0.288,0,1
U00047,45,62.492054236720804,2,6,3650.04,0,1,2,Sure_Thing,0,0.1923,0.1923,1,1
U00048,59,83.66362559627969,2,8,5237.66,0,0,1,Sure_Thing,0,0.0858,0.0858,0,1
U00049,15,109.1330024795617,0,2,1875.47,0,1,0,Persuadable,0,0.6252,0.6252,0,1
U00050,31,61.792253524530196,1,7,1965.24,0,1,1,Sure_Thing,0,0.2182,0.2182,0,1
U00051,9,106.60867884196,0,2,1150.02,0,0,0,Persuadable,0,0.6254,0.6254,0,1
U00052,38,32.541216813751156,1,1,1121.27,0,1,2,Sleeping_Dog,0,0.2206,0.2206,0,1
U00053,8,104.85864976366616,0,3,512.28,0,0,2,Lost_Cause,1,0.9626,0.9426,1,1
U00054,14,33.6267288348857,1,3,478.84,0,1,0,Sleeping_Dog,0,0.3057,0.3057,0,1
U00055,29,46.74041572076332,1,7,1501.66,0,0,0,Sure_Thing,1,0.3051,0.2551,0,1
U00056,26,84.19766403631667,2,8,2679.79,1,1,0,Sure_Thing,1,0.1249,0.0749,0,1
U00057,71,82.86154405383286,2,8,6623.87,0,1,2,Sure_Thing,0,0.2609,0.2609,0,1
U00058,21,30.964288378654548,2,3,589.61,0,0,0,Sleeping_Dog,1,0.1767,0.4767,0,1
U00059,58,45.199169285818265,1,6,3136.67,0,0,1,Sure_Thing,0,0.2463,0.2463,1,1
U00060,2,84.1432729881951,0,5,139.5,0,1,2,Persuadable,1,0.7871,0.3871,0,1
